voltage,current,SOC
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.82561,-0.0,0.6985931034482759
3.64081,2.8892,0.6985655172413793
3.57261,2.89655,0.6985379310344828
3.53272,2.89818,0.6985103448275862
3.51664,2.899,0.6984827586206896
3.50441,2.899,0.6984551724137931
3.49734,2.89982,0.6984275862068965
3.49219,2.89982,0.6984
3.48897,2.89982,0.6983724137931034
3.4864,2.899,0.6983448275862069
3.48382,2.89982,0.6983172413793104
3.48189,2.899,0.6982896551724138
3.48061,2.89982,0.6982586206896552
3.47868,2.89982,0.6982310344827587
3.47803,2.899,0.6982068965517241
3.47675,2.89982,0.6981758620689655
3.47546,2.899,0.698148275862069
3.47417,2.89982,0.6981206896551724
3.47353,2.89982,0.6980931034482758
3.47289,2.899,0.6980655172413792
3.4716,2.89982,0.6980379310344828
3.47096,2.899,0.6980103448275862
3.47031,2.89982,0.6979827586206897
3.46967,2.89982,0.6979551724137931
3.46903,2.899,0.6979275862068965
3.46838,2.899,0.6979
3.46774,2.89982,0.6978724137931034
3.4671,2.89982,0.6978448275862069
3.46645,2.899,0.6978172413793103
3.46581,2.89982,0.6977896551724138
3.46517,2.899,0.6977586206896551
3.46452,2.899,0.6977310344827585
3.46388,2.89982,0.6977068965517241
3.46388,2.899,0.6976758620689656
3.46324,2.89982,0.697648275862069
3.46259,2.89982,0.6976206896551724
3.46195,2.89982,0.6975931034482759
3.46131,2.89982,0.6975655172413793
3.46131,2.89982,0.6975379310344827
3.46066,2.89982,0.6975103448275861
3.46002,2.899,0.6974827586206896
3.45938,2.899,0.6974551724137931
3.45938,2.89982,0.6974275862068966
3.45873,2.89982,0.6974
3.45809,2.899,0.6973724137931034
3.45809,2.899,0.6973448275862069
3.45745,2.89982,0.6973172413793103
3.45745,2.899,0.6972896551724138
3.4568,2.89982,0.6972620689655172
3.4568,2.899,0.6972344827586207
3.45616,2.89982,0.6972068965517242
3.45552,2.89982,0.6971793103448276
3.45552,2.89982,0.697148275862069
3.45487,2.899,0.6971206896551725
3.45423,2.89982,0.6970931034482759
3.45423,2.89982,0.6970655172413793
3.45359,2.89982,0.6970379310344827
3.45359,2.89982,0.6970103448275862
3.45294,2.89982,0.6969827586206896
3.4523,2.89982,0.696955172413793
3.4523,2.89982,0.6969275862068965
3.45166,2.89982,0.6969
3.45166,2.89982,0.6968724137931035
3.45101,2.89982,0.6968448275862069
3.45101,2.89982,0.6968172413793103
3.45037,2.89982,0.6967896551724138
3.45037,2.899,0.6967620689655172
3.44973,2.89982,0.6967344827586207
3.44973,2.89982,0.6967068965517241
3.44908,2.89982,0.6966793103448276
3.44908,2.89982,0.6966482758620689
3.44908,2.899,0.6966206896551723
3.44844,2.89982,0.6965931034482759
3.44844,2.899,0.6965655172413794
3.4478,2.89982,0.6965379310344828
3.4478,2.899,0.6965103448275862
3.44715,2.89982,0.6964827586206896
3.44715,2.89982,0.6964551724137931
3.44651,2.899,0.6964275862068965
3.44651,2.899,0.6963999999999999
3.44587,2.89982,0.6963724137931034
3.44587,2.899,0.6963448275862069
3.44587,2.899,0.6963172413793104
3.44522,2.89982,0.6962896551724138
3.44522,2.899,0.6962620689655172
3.44458,2.89982,0.6962344827586207
3.44458,2.899,0.6962068965517241
3.44394,2.89982,0.6961793103448276
3.44394,2.899,0.696148275862069
3.44329,2.89982,0.6961206896551724
3.44329,2.89982,0.6960931034482758
3.44265,2.899,0.6960655172413792
3.44265,2.89982,0.6960379310344827
3.44265,2.899,0.6960103448275863
3.44201,2.899,0.6959827586206897
3.44201,2.899,0.6959551724137931
3.44136,2.899,0.6959275862068965
3.44136,2.899,0.6959
3.44136,2.89982,0.6958724137931034
3.44072,2.899,0.6958448275862068
3.44072,2.899,0.6958172413793103
3.44072,2.899,0.6958172413793103
3.58691,-0.0,0.6958172413793103
3.66605,-0.0,0.6958172413793103
3.70465,-0.0,0.6958172413793103
3.72589,-0.0,0.6958172413793103
3.73811,-0.0,0.6958172413793103
3.74776,-0.0,0.6958172413793103
3.75484,-0.0,0.6958172413793103
3.7587,-0.0,0.6958172413793103
3.76192,-0.0,0.6958172413793103
3.76513,-0.0,0.6958172413793103
3.76642,-0.0,0.6958172413793103
3.76835,-0.0,0.6958172413793103
3.76964,-0.0,0.6958172413793103
3.77092,-0.0,0.6958172413793103
3.77221,-0.0,0.6958172413793103
3.77285,-0.0,0.6958172413793103
3.7735,-0.0,0.6958172413793103
3.77414,-0.0,0.6958172413793103
3.77478,-0.0,0.6958172413793103
3.77543,-0.0,0.6958172413793103
3.77607,-0.0,0.6958172413793103
3.77671,-0.0,0.6958172413793103
3.77671,-0.0,0.6958172413793103
3.77736,-0.0,0.6958172413793103
3.77736,-0.0,0.6958172413793103
3.778,-0.0,0.6958172413793103
3.77865,-0.0,0.6958172413793103
3.77865,-0.0,0.6958172413793103
3.77929,-0.0,0.6958172413793103
3.77929,-0.0,0.6958172413793103
3.77929,-0.0,0.6958172413793103
3.77993,-0.0,0.6958172413793103
3.77993,-0.0,0.6958172413793103
3.77993,-0.0,0.6958172413793103
3.78058,-0.0,0.6958172413793103
3.78058,-0.0,0.6958172413793103
3.78058,-0.0,0.6958172413793103
3.78122,-0.0,0.6958172413793103
3.78122,-0.0,0.6958172413793103
3.78186,-0.0,0.6958172413793103
3.78186,-0.0,0.6958172413793103
3.78186,-0.0,0.6958172413793103
3.78186,-0.0,0.6958172413793103
3.78251,-0.0,0.6958172413793103
3.78251,-0.0,0.6958172413793103
3.78251,-0.0,0.6958172413793103
3.78251,-0.0,0.6958172413793103
3.78315,-0.0,0.6958172413793103
3.78315,-0.0,0.6958172413793103
